ID,manual,publish,length,detail,speechspeed,storyboard,aspect,coherence,y
1,1,0.05,0.51,0,0.42,0.41,0,1,0.7
2,1,1,0.51,0,0.03,0.41,1,0,0.46
3,1,0.05,0.06,1,0.85,0.13,0,1,0.2
4,0,0.3,0.99,0,0.83,0.89,0,1,0.16
5,0,0.51,0.79,0,0.61,0.64,1,1,0.14
6,0,0.3,0.56,0,0.95,0.57,0,0,0.08
7,0,0.16,0.56,0,0.92,0.97,1,0,0.09
8,1,0.09,0.97,0,0.04,0.02,1,0,0.59
9,0,0.54,0.05,0,0.98,0.57,0,0,0.05
10,1,0.59,0.06,1,0.97,0.57,0,1,0.05
11,1,0.05,0.24,0,0.18,0.05,1,1,0.55
12,1,0.51,0.47,1,0.85,0.32,0,1,0.9
13,0,0.11,0.69,0,0.77,0.77,1,0,0.16
14,1,0.69,0.45,1,0.41,0.51,0,1,0.8
15,1,0.39,0.38,0,0.46,0.03,0,1,0.72
16,1,0.93,0.52,0,0.07,0.05,1,0,0.57
17,1,0.66,0.52,0,0.09,0.18,1,1,0.66
18,1,0.76,0.05,0,0.3,0.99,0,0,0.04
19,1,0.96,0.52,0,0.3,0.18,1,1,0.56
20,1,0.69,0.51,0,0.51,0.86,1,0,0.74
21,1,0.51,0.51,0,0.16,0.13,1,1,0.98
22,1,0.05,0.39,0,0.55,0.51,1,1,0.56
23,0,0.05,0.95,0,0.61,0.51,0,0,0.12
24,0,0.35,0.52,0,0.42,0.07,0,0,0.09
25,1,0.6,0.27,1,0.12,0.13,1,1,0.99
26,1,0.57,0.11,1,0.21,0.18,1,1,0.95
27,1,0.56,0.05,1,0.69,0.41,0,1,0.08
28,1,0.62,0.26,0,0.71,0.51,0,1,0.33
29,1,0.05,0.19,0,0.18,0.1,1,0,0.55
30,1,0.59,0.06,0,0.82,0.57,0,1,0.06
31,0,0.94,0.05,1,0.82,0.51,0,1,0.04
32,1,0.08,0.05,1,0.05,0.41,1,0,0.59
33,1,0.05,0.09,1,0.42,0.64,1,1,0.54
34,1,0.68,0.51,1,0.41,0.57,0,1,0.14
35,0,0.08,0.12,0,0.49,0.1,0,1,0.53
36,0,0.1,0.59,0,0.61,0.57,0,0,0.24
37,0,0.07,0.55,1,0.78,0.77,0,0,0.06
38,0,0.06,0.53,0,0.87,0.95,0,1,0.28
39,0,0.42,0.84,0,0.65,0.91,0,0,0.51
40,1,0.95,0.28,1,0.23,0.25,0,1,0.59
